"ID",,,,,"è≥ë¯",S1111,S1121,S1211,S1221,S1TTL,S2111,S2121,S2131,S2211,S2221,S2231,S2TTL,S3111,S3121,S3131,S3141,S3211,S3221,S3231,S3TTL,S4111,S4112,S4121,S4131,S4141,S4211,S4221,S4231,S4241,S4311,S4321,S4331,S4341,S4351,S4TTL,S5111,S5121,S5131,S5141,S5211,S5221,S5311,S5321,S5411,S5421,S5511,S5521,S5TTL,S6111,S6121,S6131,S6211,S6221,S6311,S6321,S6TTL,STTL,101,102,103,104,105,111,112,113,114,115,116,117,118,119,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1131,1132,1133,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1210,1211
="22",="02",="0003",="09",="000",="1",2,1,1,1,5,2,2,1,1,2,2,10,2,2,2,2,1,2,1,12,"",2,2,2,2,2,2,1,2,2,2,2,2,2,25,1,1,1,0,0,0,2,2,1,1,2,2,13,1,2,2,2,2,2,3,14,79,0,0.51,1.02,0,0.51,2,2,628,572,83.1,1,2,1,2,2,1,2,2,2,9,52,74.1,7.63,48,0,44,5,1,3,8,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,0,0,0,1960,115,884,0,0,0,1,1
="22",="02",="0003",="15",="000",="1",1,1,1,2,5,0,1,1,2,0,0,4,2,2,2,1,0,2,0,9,"",1,0,1,"",2,2,0,0,2,1,2,2,0,13,1,"",2,0,0,0,2,0,1,1,1,1,9,1,1,2,1,2,1,2,10,50,3.44,0,0.69,0,0,2,2,510,510,93.5,1,2,1,1,2,2,2,1,2,6,50,47.8,43.8,22,0,19,2,2,2,8,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,0,0,0,1454,32,185,0,0,0,1,1
="22",="02",="0003",="16",="000",="1",2,1,2,2,7,2,1,1,2,1,1,8,2,2,2,2,2,2,1,13,"",2,1,2,1,2,2,2,1,2,2,2,2,2,23,2,2,2,2,2,1,2,0,1,1,2,2,19,1,1,2,2,2,3,3,14,84,3.88,0,9.71,0,0,2,1,628,552,80,1,2,1,1,2,2,2,2,2,2,20,39.8,22,17,0,17,1,2,1,8,1,1,2,2,1,4,1,2,1,2,2,2,2,2,1,37,0,0,515,375,123,0,0,0,2,1
="22",="02",="0003",="17",="000",="1",2,1,1,1,5,2,2,2,2,1,2,11,1,1,1,1,0,2,2,8,"",2,1,2,1,2,2,1,1,2,2,2,2,2,22,2,2,2,2,2,1,1,2,2,1,1,1,19,1,2,2,2,2,3,3,15,80,0.65,0,1.31,0.65,5.23,2,1,628,572,93.5,1,2,1,2,1,2,2,2,2,3,20,89.1,2.51,32,0,32,5,1,1,8,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,0,0,0,1529,954,140,0,0,0,2,1
="22",="02",="0003",="18",="000",="1",1,1,1,1,4,2,1,2,2,2,2,11,0,0,0,0,0,2,1,3,"",2,1,2,1,2,1,1,2,2,2,2,2,2,22,2,2,2,2,1,2,2,2,2,2,2,2,23,1,1,2,2,2,3,3,14,77,0,0,2.39,2.39,0,2,1,628,572,80.6,1,1,1,2,1,2,2,2,2,3,6,94.7,7.4,23,0,23,1,2,2,8,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,0,0,0,48,304,0,0,0,0,1,1
="22",="07",="0003",="01",="000",="1",1,1,1,2,5,1,1,2,1,1,1,7,2,2,2,2,2,1,2,13,"",1,1,2,1,2,2,2,0,2,2,2,2,2,21,2,2,2,0,1,0,2,0,1,1,1,1,13,1,1,0,2,1,3,3,11,70,0.51,0,1.02,0,0,2,5,215,193,70.8,1,2,1,1,2,2,2,2,2,2,18,58.2,38.1,17,0,14,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,44.1,0,0,1965,556,265,0,0,0,2,2
="22",="07",="0003",="02",="000",="1",2,2,1,2,7,2,1,2,2,1,2,10,1,2,1,1,1,1,1,8,"",2,1,2,1,2,2,1,0,2,2,1,1,2,19,2,1,2,2,1,1,2,2,2,2,1,1,19,1,2,1,2,2,3,2,13,76,6.64,0.66,0,0,3.32,4,5,215,215,71,1,,1,2,1,2,2,2,2,1,34,71,11.6,25,0,25,3,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,1505,210,780,0,0,0,2,1
="22",="07",="0003",="03",="000",="1",1,2,1,2,6,2,1,1,2,1,1,8,0,2,2,0,1,1,1,7,"",2,1,1,1,2,2,1,0,2,2,2,2,0,18,1,2,2,0,0,0,2,2,1,1,1,1,13,1,2,1,2,1,3,2,12,64,2.97,0.59,0,0,4.16,1,5,193,193,708,1,2,1,2,1,2,2,2,2,1,42,70.8,11.3,24,0,23,3,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,1682,352,894,0,0,0,2,2
="22",="07",="0003",="04",="000",="1",1,1,2,2,6,2,1,1,2,2,2,10,1,2,2,1,1,1,1,9,"",2,1,2,1,2,2,1,0,2,2,2,2,2,21,1,1,2,2,1,1,2,2,1,2,1,1,17,1,2,1,2,2,2,2,12,75,1.54,0.51,1.03,6.17,1.54,2,5,215,175,61.4,1,2,1,1,2,2,2,2,2,1,42,79.3,19.3,25,0,25,3,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,38.92,3.1,21.9,1945,360,710,0,0,0,2,1
="22",="07",="0003",="05",="000",="1",2,2,2,2,8,2,1,1,2,2,1,9,2,2,2,1,1,1,1,10,"",2,1,2,1,2,2,1,0,2,2,2,2,2,21,2,2,2,1,0,0,2,2,1,1,1,1,15,1,1,2,2,2,3,3,14,77,1.78,0,0,0,0.45,2,5,193,165,70.1,1,1,1,1,2,2,2,2,2,1,42,65.3,9.6,24,0,24,3,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,2247,520,1055,0,0,0,2,1
