"ID","è≥ë¯",S1TTL,S2TTL,S3TTL,S4TTL,S5TTL,S6TTL,STTL,101,102,103,104,105,111,112,113,114,115,116,117,118,119,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1131,1132,1133,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,P1TTL,P2TTL,P3TTL,P4TTL,P5TTL,P6TTL,PTTL,201,202,203,204,205,206,207,208,211,212,214,219,O1TTL,O2TTL,O3TTL,O4TTL,O5TTL,O6TTL,OTTL,301,302,303,1111,1121,2111,2131,3111,3131,4111,4121,4131,5111,5121,6111,6121
22-02-0002-05,1.00,7.0,12.0,12.0,24.0,18.0,14.0,87.0,0.93,0.46,1.39,0,0.93,2,5,287,237,70,1,1,1,1,2,2,2,2,2,1,42,77.3,13.1,30,0,30,6,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,37,0,0,2162,394,1218,0,0,0,17.8,15.6,10.4,19.6,9.6,19.6,92.6,7.3,3.2,1.4,71,0,38,1,1.2,3.4,2.4,2.8,0,5.5,5.7,2.0,8.4,5.6,5.2,32.3,60.034482758621,1.1379310344828,14.965517241379,2.62,2.90,2.83,2.83,2.00,0.03,2.79,2.72,2.90,2.69,2.86,2.72,2.45
22-02-0002-06,1.00,5.0,10.0,13.0,17.0,16.0,11.0,72.0,1.06,0,0,0,1.06,2,5,333,283,65,1,1,1,1,2,1,1,2,2,1,43,67,13,27,1,24,7,2,2,2,1,2,2,2,1,4,1,1,1,1,1,1,2,1,2,37,0,0,1894,831,720,0,0,0,17.6,12.6,12.8,21.0,10.4,18.6,93.0,12.6,4.2,1.2,79.2,0,36,1,0.8,2.2,2.6,2.2,0,5.4,5.6,3.1,8.1,5.6,5.2,32.8,50.421052631579,1.6842105263158,9.0526315789474,2.63,2.74,2.68,2.89,2.26,0.79,2.84,2.63,2.58,2.79,2.84,2.79,2.37
22-02-0002-09,1.00,6.0,11.0,12.0,24.0,14.0,13.0,80.0,0.81,0,0.81,0,1.21,2,2,369,238,69,1,2,1,2,1,2,2,2,2,1,45,82.7,22,27,0,27,9,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,40,0,0,2481,1015,1234,0,0,0,18.0,11.0,4.7,18.3,9.0,20.0,81.0,13.666666666667,2.3333333333333,1.6666666666667,88.333333333333,0,30,1,1,2.3333333333333,3.6666666666667,3.6666666666667,0,5.0,5.6,2.2,7.6,4.8,5.6,30.8,54.0625,1.125,19.375,2.50,2.50,2.81,2.81,2.00,0.25,2.63,2.31,2.63,2.44,2.38,2.81,2.75
22-02-0002-10,1.00,5.0,12.0,11.0,24.0,18.0,14.0,84.0,0.95,0,0,0,0.47,2,2,238,224,70,1,2,1,1,1,2,2,2,2,1,46,68.2,10,25,0,30,8,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2107,558,756,0,0,0,,,,,,,,,,,,,,,,,,,,5.2,5.6,3.0,7.7,4.8,5.4,31.7,59.892857142857,1.4285714285714,9.5357142857143,2.64,2.54,2.82,2.75,2.07,0.89,2.57,2.54,2.61,2.46,2.36,2.82,2.61
22-02-0003-02,1.00,6.0,8.0,13.0,14.0,15.0,12.0,68.0,2.3,0.33,0.66,0,1.32,2,1,628,572,83.1,1,2,1,1,2,2,2,2,2,1,50,95.4,10.72,30,0,29,6,1,2,8,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,0,0,0,3038,688,1435,0,0,0,20.0,15.6,11.4,22.8,9.8,20.2,99.8,10.6,2.32,1.6,64.8,0,36,1,1.2,2.8,3.4,3.6,0,4.8,5.1,1.8,6.9,4.2,4.0,26.8,50.208333333333,1,5.2916666666667,2.50,2.33,2.50,2.58,1.21,0.54,2.29,2.17,2.42,2.04,2.13,2.21,1.83
22-02-0003-03,1.00,8.0,11.0,13.0,11.0,19.0,12.0,74.0,2.16,0.36,0.36,1.08,0,2,1,628,50,96.3,1,1,1,1,1,2,2,2,2,1,50,93.5,10.6,33,0,31,8,1,3,8,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,30.6,0,0,2776,859,1744,0,0,0,20.4,15.8,12.0,25.0,10.0,20.6,103.8,14.2,4.4,1.4,74.2,0,63,1,1,3,3,2.6,0,5.5,5.8,3.2,8.2,5.5,5.6,33.8,70.633333333333,1.3666666666667,13.6,2.87,2.67,2.90,2.90,2.57,0.67,2.77,2.73,2.67,2.70,2.80,2.90,2.67
22-02-0003-04,1.00,6.0,11.0,11.0,22.0,17.0,10.0,77.0,2.02,0.34,1.34,0.34,0.67,2,2,628,572,83.1,1,1,1,2,1,2,2,2,2,1,50,99.6,20.7,30,0,30,6,1,3,8,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,31.7,0,0,2975,1399,1322,0,0,0,16.4,14.6,8.6,22.0,10.0,17.8,89.4,14.2,4.4,1.8,64,0,44,1,1,3,3.2,3.2,0,4.8,5.3,1.5,7.4,4.5,4.7,28.2,63.8,1.3666666666667,21.466666666667,2.47,2.37,2.70,2.60,1.20,0.33,2.60,2.50,2.27,2.13,2.33,2.47,2.20
22-02-0003-05,1.00,8.0,8.0,14.0,23.0,19.0,14.0,86.0,3.31,0,1.1,6.63,3.31,2,2,608,454,93.5,1,2,1,1,2,2,2,2,2,1,50,98,11,32,0,32,8,1,2,8,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2716,877,1028,0,0,0,20.0,16.4,10.8,26.4,10.6,20.4,104.6,11,3.5,1.4,68.6,0,57,1,1,2,2,2.4,0,4.6,5.4,1.2,6.9,4.6,5.1,27.8,59.1875,1.3125,9.6875,2.25,2.31,2.69,2.75,0.88,0.38,2.00,2.44,2.50,2.13,2.44,2.63,2.44
22-02-0003-07,1.00,4.0,11.0,5.0,20.0,21.0,14.0,75.0,3.15,3.15,2.1,0,0.7,2,1,50,612,78,1,1,1,2,1,2,2,2,2,1,50,85.5,12.9,32,0,32,6,1,2,8,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,31.4,0,0,2765,700,916,1227680537,0,0,20.0,16.2,13.0,24.4,10.4,22.6,106.6,5.8,3,1.6,75.4,0,44,1,1,2.6,3,2.8,0,5.0,5.3,1.2,7.1,4.2,4.9,27.7,52,1.4038461538462,9.6923076923077,2.48,2.56,2.73,2.58,0.94,0.23,2.37,2.40,2.33,1.94,2.21,2.40,2.52
